texte,AVIS,RECLAMATION,SUGGESTION,EXPERIENCE,source,valide_humain
"Contrairement aux idées reçues le traceur GPS est très précis, dumoins avec vivoactive 3 Music.. Très motivant pour la suite. Je conseil garmin",1,0,0,1,dataset_apia2022,1
Application très pratique et fiable.,1,0,0,0,dataset_apia2022,1
jadore ma montre,1,0,0,0,dataset_apia2022,1
"Super application, je l'utilise synchronisé avec ma fenix3 et j'adore",1,0,0,1,dataset_apia2022,1
Super !,1,0,0,0,dataset_apia2022,1
"Application très pratique et très simple d'utilisation. Une fois la montre couplée pour la première fois, tout se fait automatiquement. Néanmoins, depuis quelques temps, les données d'altitude sont totalement faussées !",1,1,0,0,dataset_apia2022,1
Suivis du sommeil cardio nombre de pas avec la distance dans la journée .impeccable,1,0,0,1,dataset_apia2022,1
Sympa et précis !,1,0,0,0,dataset_apia2022,1
Très satisfait,1,0,0,0,dataset_apia2022,1
"bonjour, le calendrier ne se synchronise plus... en pleine préparation semi marathon avec une montre à 200 euro ça l a fout mal :/ le calendrier va jusqu en juin et pas plus loin.. j ai essayé bcp de manipulation en vain..",0,1,0,0,dataset_apia2022,1
fonctionne parfaitement bien,1,0,0,0,dataset_apia2022,1
"Il ne manque plus que la création de parcours comme sur le site et ce 
serait parfait.",0,0,1,0,dataset_apia2022,1
"Tout fonctionne, application complète",1,0,0,0,dataset_apia2022,1
J'adore mais des fois des problème de connexion. Dommage,1,1,0,0,dataset_apia2022,1
"Bien sans plus. Je préfère largement l'interface de Strava avec ses informations plus condensées ou celle de Training Peaks qui affiche mon état de fitness, forme et fatigue. Je ne comprends toujours pas pourquoi on trouve Golf en accès direct sur le bandeau de gauche, pourquoi ne pas mettre yoga, musculation, running, vélo, ... ou alors le rendre paramétrable.",1,0,1,1,dataset_apia2022,1
application sympa mais pas très pratique à utiliser en historique d'activités.,1,0,0,1,dataset_apia2022,1
Incroyable de ne pas pouvoir détecter une montre à 300 euros en bluetooth... Jamais eu ce problème chez la concurrence,0,1,0,0,dataset_apia2022,1
Grosse consommation en arrière plan depuis quelques temps !,0,1,0,0,dataset_apia2022,1
Le sommeil ainsi que l'hydratation application et montre ne se connecte pas normalement.,0,1,0,0,dataset_apia2022,1
Bonjour lorsque que fermé l'application cela deconnecte ma montre de mon téléphone. Est ce normal ?,0,1,0,0,dataset_apia2022,1
Depuis deux semaines la synchronisation ne fonctionne pas. Je ne reçois plus les notifications sur ma montre très pénible. Je pensais que c'est à cause de mon changement de téléphone huawei p30 mais vu les commentaires ça a l'air d'être le cas de beaucoup de monde,0,1,0,0,dataset_apia2022,1
"Depuis la dernière mise à jour je n ai plus de synchronisation directe, il faut passer par le menu et forcer la synchronisation, voir des fois désinstaller et réinstaller l'appli. Pourriez-vous faire quelque chose. Merci",0,1,0,0,dataset_apia2022,1
Très complet !,1,0,0,0,dataset_apia2022,1
Super appli couplée avec une Fenix 3 : c'est top. La saisie des entraînements est super intuitive et vraiment efficace à utiliser.,1,0,0,1,dataset_apia2022,1
Je n'arrive pas à mémoriser mon poids sinon tout est bon,0,1,0,0,dataset_apia2022,1
"tres bonne application, bien détaillé, facile d'accès, on peut consulter après une course, partager prendre des photos. parfait pour programmer des entraînements et créer des entraînements. je suis très satisfait de cette application.",1,0,0,0,dataset_apia2022,1
Bonjour. avant cela fonctionnait à merveille mais depuis la mise à jour de mars peut cela bug. fréquences cardiaques ni le sommeille plus les activités...désinstaller réinstallés rien à faire au secours....,1,1,0,0,dataset_apia2022,1
Depuis la nouvelle mise à jour l'application ne fonctionne plus. L'erreur Connect s'arrête systématiquement s'affiche a chaque fois.,0,1,0,0,dataset_apia2022,1
Top appli avec les accessoires Garmin,1,0,0,0,dataset_apia2022,1
Impossible de mettre un nouvel écran de montre sur une Fenix 6x pro... Peut être qu'un jour Garmin réagira et corrigera les différents pb......,0,1,0,0,dataset_apia2022,1
"Facile d'utilisation, toute vos données en un instant",1,0,0,1,dataset_apia2022,1
Mauvaise 🤬,1,0,0,0,dataset_apia2022,1
fière de Garmin Connect. je vous la recommandation,1,0,0,0,dataset_apia2022,1
"Ce qui est dommage c'est de ne pas avoir les mêmes info sur cell que sur site internet. Par exemple, es objectifs et leur résultat.",0,1,0,0,dataset_apia2022,1
Excellente,1,0,0,0,dataset_apia2022,1
"Super, depuis la mise à jour de l'appli, impossible de connecter ma montre Fenix 5 à mon tel honor 6x. Merci Garmin mais c'est honteux de publier des mises à jour de cette qualité. Une Fenix 5 n'est pas gratuite ! Je fais quoi maintenant ?",0,1,0,0,dataset_apia2022,1
"Nombreuses options de suivi et de visualisation, mais interface encore un peu complexe.",0,0,0,1,dataset_apia2022,1
"No bug yet, good app for a good watch. I use a vivoactive 3",1,0,0,1,dataset_apia2022,1
Première et dernière fois ! Garmin pffff  La balance est tres bien mais c'est l'appli qui pue. Impossible de paramétrer correctement. C'EST NUL !!! Vous tuez le produit les fabricants devraient se retourner contre vous!,0,1,0,0,dataset_apia2022,1
